Image,Species,BinCb_1,BinCb_2,BinCb_3,BinCb_4,BinCb_5,BinCb_6,BinCb_7,BinCb_8,BinCb_9,BinCb_10,BinCb_11,BinCb_12,BinCb_13,BinCb_14,BinCb_15,BinCb_16,BinCr_1,BinCr_2,BinCr_3,BinCr_4,BinCr_5,BinCr_6,BinCr_7,BinCr_8,BinCr_9,BinCr_10,BinCr_11,BinCr_12,BinCr_13,BinCr_14,BinCr_15,BinCr_16
10091895024_a2ea04cda6_c.jpg,astilbe,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8186,35941,0,0,21,163,455,774,1468,3233,5334,7553,9744,9564,7191,6035,6877,6955
1033455028_f0c6518ec9_c.jpg,astilbe,0,0,0,0,0,0,0,0,0,0,0,0,153,6408,20330,17893,0,0,0,0,0,0,0,3,10,28,114,313,668,2383,10926,25653
10373087134_927b53fb9f_c.jpg,astilbe,0,0,0,0,0,0,0,0,0,0,0,0,16,65,257,1586,0,0,0,0,0,0,0,0,0,3,4,28,57,236,566,2591
1052212431_4963309d03_c.jpg,astilbe,0,0,0,0,0,0,0,0,0,0,0,0,58,3034,19010,16414,0,0,0,0,0,0,4,47,168,478,2044,5909,10354,11894,12970,16644
1052219251_d03970e956_c.jpg,astilbe,0,0,0,0,0,0,0,0,0,0,0,0,23,2338,16905,20685,0,0,0,0,0,2,54,348,1243,4130,10148,20993,17579,8294,2511,234
1052586928_366c5255b8_c.jpg,astilbe,0,0,0,0,0,0,0,0,0,0,0,0,45,2049,23554,37307,0,0,0,0,0,0,1,9,66,220,542,1241,2979,7450,17683,33318
1052587144_34c9f0714c_c.jpg,astilbe,0,0,0,0,0,0,0,0,0,0,0,0,3,1406,23438,27397,3,11,19,21,35,40,58,141,280,792,2112,6035,10412,11872,8844,19006
1053073526_188a5b816e_c.jpg,astilbe,0,0,0,0,0,0,0,0,0,0,0,0,89,9653,26008,12415,0,0,0,0,0,0,7,65,186,513,1444,4022,8886,18954,18216,12797
1053075100_838051e5b7_c.jpg,astilbe,0,0,0,0,0,0,0,0,0,0,0,0,32,1301,6756,10130,0,0,0,0,0,0,0,4,17,58,153,866,5845,19238,20823,15268
1053079170_650c3c6af6_c.jpg,astilbe,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5205,32360,0,0,0,0,0,0,0,0,42,436,2860,11077,17965,22580,8930,1590
